sentence	relation
Once all the <e1>corn</e1> <e2>liquor</e2> is collected, you have to proof it down.	9
Our ancestors have added high <e1>protein</e1> into their <e2>diet</e2>.	6
These <e1>photographs</e1> show the <e2>survivors</e2> of a time that the truly nostalgic fondly remember and the rest of us can't believe existed at all.	14
The distance between a <e1>blog</e1> <e2>writer</e2> and an audience happens only if the audience never shows up.	16
A microbrewery, or craft brewery, is a modern <e1>brewery</e1> which produces a limited amount of <e2>beer</e2>.	17
The <e1>disease</e1> was transmitted on to another <e2>patient</e2> by skin.	6
Hunt clubs often maintain a <e1>cry</e1> of <e2>hounds</e2>, trained to hunt foxes.	13
Non-UK <e1>students</e1> benefit from the bursary <e2>scheme</e2>.	18
Film Exhibition in North America, wrapped this past weekend, and Paste was there to sample the latest <e1>wares</e1> from the world's <e2>filmmakers</e2>.	16
Approximately $2 <e1>trillions</e1> are invested into SRI Socially responsible investing <e2>ventures</e2> in the present day.	6
We put frozen <e1>prawns</e1> in the <e2>popcorn maker</e2>, and we obtained prawn crackers.	6
Ancient pagan traditions used <e1>famine</e1> following <e2>feast</e2> as a way of revealing truth.	18
It's hell in the hospitals where the amputees's <e1>screaming</e1> after the <e2>lapse</e2> of morphine is heard all the time.	1
The <e1>transmitter</e1> generates the electromagnetic <e2>wave</e2>, some of which will be incident on the receiver.	0
A <e1>suitcase</e1> with a <e2>bomb</e2> in it is carried around.	5
The Civil Rights Hero <e1>award</e1> was bestowed to a disability rights <e2>activist</e2>.	6
The aim of this <e1>paper</e1> is to present a <e2>model</e2> for the determination of the monetary values.	14
The <e1>increase</e1> in customers, though, caused a <e2>strain</e2> on the company servers.	0
The tongue has taste buds, but a cat's <e1>appetite</e1> comes from the <e2>smell</e2> of the food and doesn't come from the taste of it.	1
The <e1>pseudolesion</e1> was caused by <e2>drainage</e2> of the paraumbilical vein.	1
The government has poured <e1>billions</e1> into education <e2>reforms</e2>.	6
The check given by Charles V to the advance of the Ottoman power along the African coast made him appear to the world as the liberator of the Christians and the <e1>terror</e1> of the <e2>infidels</e2>, and gave him such prestige that Francis felt obliged to get all the advantage possible out of his alliance.	18
This company has put the <e1>insulation</e1> into the <e2>walls</e2>.	6
The <e1>lawsuit</e1> alleged the release of the records was a <e2>violation</e2> of the Video Privacy Protection Act.	14
Alfred Nobel created his <e1>fortune</e1> from the <e2>selling</e2> of explosives that utilized nitroglycerin.	1
Hence, the left regular <e1>grammars</e1> generate exactly all regular <e2>languages</e2>.	18
The <e1>bruises</e1> are caused by the attacker's <e2>fingertips</e2> pressing into the skin.	1
The <e1>adjective</e1> Capitolinus was of course derived from the <e2>noun</e2>.	8
The <e1>system</e1> works using a spring loaded Trem <e2>arm</e2> which when turned raises or lowers itself from a nut in the steel backplate.	3
Each <e1>organization</e1> that is a member of the <e2>corporation</e2> as provided in the constitution of the corporation is entitled to all the benefits of incorporation under this chapter.	12
<e1>Sodium</e1> causes fluid <e2>retention</e2>, which can lead to edema (swelling), increased blood pressure, and in those susceptible patients, congestive heart failure.	0
Unfortunately, they just had brief mentions and more <e1>pages</e1> were spent describing the clubs <e2>scene</e2>.	14
This classic Huffman photograph pictures the cow hands on their way to set up camp with their <e1>remuda</e1> of <e2>geldings</e2> trailing behind.	13
Uncooked steak is placed on the top <e1>shelf</e1> of the <e2>refrigerator</e2> and uncovered roast chicken on the bottom shelf.	2
"In the spring of 1950, the FCC issued a warning to the Hollywood motion picture studios against withholding product and <e1>talent</e1> from broadcast <e2>television</e2>, in what motion picture exhibitors denounced as ""a bullying statement""."	18
State abandoned national socio-cultural imperatives and rushed in to join the scandalous community and the <e1>camaraderie</e1> of the <e2>tyrants</e2>.	18
He puts <e1>creativity</e1> into <e2>use</e2>.	18
In February of 1885 the <e1>news</e1> reached the city by <e2>telegraph</e2> that Indians and half breeds had massacred a number of white people at Duck Lake.	18
The <e1>cops</e1> moved into the floating <e2>hotels</e2>.	6
The studies revealed that skin <e1>irritation</e1> from <e2>soaps</e2>, inaccessibility to supplies or sinks, and insufficient time to wash hands between every patient care contact were the main reasons given by healthcare workers for lack of handwashing compliance.	1
I found a <e1>wallet</e1> once with 30 <e2>quid</e2> in it, I handed in the wallet but took the money.	5
The <e1>movement</e1> of the flag on the surface of the moon was caused by the <e2>vaccum</e2>.	1
Sumatera (Yagasu) made a <e1>profit</e1> from the <e2>selling</e2> of women groups' handicrafts activities.	1
Our company has released five computer <e1>applications</e1> to the Apple's online <e2>shops</e2>.	6
Second, the <e1>car</e1> was in a <e2>crate</e2>, so no one would have been able to climb into it even if he/she had found a way into the cargo hold.	4
The arrival of the <e1>tensile stresses</e1> from the free <e2>surfaces</e2> was about 2 Bsec in the tests.	8
Although the <e1>goats</e1> were farmed for their <e2>fibre</e2> from early times it was not until the 16th century that export of the goats was permitted.	9
But the <e1>problem</e1> requires a broader <e2>solution</e2> - one that is consistent with the new U.S. commitment to cross-border cooperation.	18
A <e1>woman</e1> applies the <e2>patch</e2> to the skin of her abdomen or buttock for three and a half weeks.	11
Still, some <e1>spam</e1> arrives into the <e2>inbox folder</e2>.	6
Most recent <e1>books</e1> on the topic of traditional <e2>knitting</e2> contain information on Sanquhar knitting.	14
Occasionally, a dream proffers no solution but portrays only the <e1>anxiety</e1> which is generated by the <e2>conflict</e2>.	1
The baby <e1>tapir</e1> snorgled its <e2>snout</e2> into the basket full of cuddly baby bunnies.	3
But in 2004 the <e1>rupture</e1> started at the <e2>southeast end</e2> of the segment and ran northwestward, the opposite direction from those that struck in '34 and '66.	18
Bob Parks made a similar <e1>offer</e1> in a <e2>phone call</e2> made earlier this week.	15
Things reach a head when the capricious <e1>youngster</e1> runs away from the Jeffersons' <e2>apartment</e2>.	8
The <e1>spring</e1> of the <e2>gravimeter</e2> must extend some more to accommodate the larger weight.	2
When I got up there, a <e1>woman</e1> popped out of an <e2>office</e2> and introduced herself as the PM's secretary.	8
The <e1>box</e1> was inside a plain brown <e2>paper bag</e2> with a heart drawn on the side.	4
Villagers in the Netherlands are glad to have a <e1>mustering</e1> of <e2>stork</e2> visit them.	13
The principal has put <e1>computers</e1> into our <e2>classroom</e2>.	6
The <e1>joey</e1> leaves the <e2>pouch</e2> for short periods in about nine months of age, but continues to be suckled until it is about 18 months of age.	8
The album was stored in a protective poly jacket and the <e1>vinyl</e1> was stored in an anti-static <e2>sleeve</e2>.	6
One of her <e1>arguments</e1> addresses the very real <e2>threat</e2> that the women's struggle is being bypassed as the new social movement succeeds.	14
Harry Loper had provided the <e1>automobile</e1> that the <e2>sheriff</e2> used to get the two men out of harm's way.	10
Everyone, including the chef, is a 'soldier first' and 'tradesman second', and troops find themselves eating a <e1>meal</e1> cooked by the same <e2>chef</e2> who supported them out on patrol or fired mortars in the same mission.	16
Public key encryption is a <e1>technique</e1> that uses a pair of asymmetric <e2>keys</e2> for encryption and decryption.	3
The <e1>trip</e1> of two mountain <e2>goats</e2> to was also a subject for discussion.	18
I changed the balance of the flavours through my selection of bread, and got an <e1>increase</e1> in the sweetness with a choice of <e2>raisin bread</e2>.	1
Then after that the <e1>angels</e1> chopped him into millions of <e2>pieces</e2>, but still he glittered and hummed.	17
He has released a photocopy of his original <e1>birth</e1> <e2>certificate</e2>.	15
Of the situation in the fifteenth century, Parkes remarks: 'The <e1>mass</e1> of the people cultivated the <e2>land</e2>'.	18
The mp3 <e1>player</e1> was inside a <e2>silicone case</e2> that covered everything but the click wheel and the screen.	4
The <e1>sun</e1> emits <e2>light</e2> or radiation at a large range of energies or frequencies.	0
These are all symptoms of the muscle <e1>paralysis</e1> caused by the bacterial <e2>toxin</e2>.	1
This ingredient also repairs the <e1>damage</e1> that has been caused by the <e2>sun</e2>.	1
Beyond its guardtowers, the <e1>castle</e1> had two <e2>gatehouses</e2>, a barbican and a tall tower in the castle's inner ward.	3
The warming <e1>member</e1> of the heating <e2>device</e2> is positioned on inner sides of finger front portions of a glove for warming front ends of a wearer's fingers.	2
The Gateway DX-4822-01 <e1>computer</e1> makes a convincing pitch with the performance <e2>numbers</e2> and features to earn its place in your home.	18
The Indians drink so much <e1>maize</e1> <e2>liquor</e2> that it makes them drunk.	9
We did not endorse a candidate unlike the ten <e1>scientists</e1> who wrote a <e2>letter</e2> in support of John Kerry.	17
This acoustic <e1>instrumental</e1> (which has always been one of my favorites), makes an abrupt departure from the band's <e2>signature</e2> and dark-sounding metal riffs.	18
Major disasters like <e1>cyclone</e1>, floods and the storm surges, drought are caused by <e2>climate change</e2>.	1
<e1>Eggs</e1> come out of the female's <e2>body</e2> through the ovipositor.	8
The <e1>bottom</e1> is welded into each monoseal <e2>casket</e2> using a continuous weld aldong the entire seam.	18
Yet he afterwards fell away and became the head of a <e1>sect</e1> of vile <e2>heretics</e2>, of gross practices, called from his name the sect of the Nicolaitans, Rev. ii. 6, and 15.	13
The <e1>cells</e1> migrated into both upper <e2>layers</e2>.	6
The <e1>introduction</e1> in the <e2>book</e2> is a summary of what is in the text.	2
The conclusion <e1>chapter</e1> is cautious and organised around the six <e2>themes</e2> of the book.	14
In 1871, nearly 60 percent of the Italian <e1>population</e1> farmed for a <e2>living</e2>, attempting to eke out an existence from arid land that often was not their own.	18
The <e1>aeroplane</e1> was withdrawn from that <e2>duty</e2> and confined to low-level flying, where it became a success.	18
Here is a picture of the <e1>artist</e1> taking a <e2>photograph</e2> of a young girl in front of a vegetable stand on Mulberry Street in New York City.	17
The scale of such landslides on natural slopes can be large enough to devastate entire villages or towns, such as the Huascaran Avalanche triggered by the Peru earthquake (1970, Mw = 7.8), or the complex <e1>slides</e1> caused by the Alaska <e2>earthquake</e2> in 1964 (Ms = 8.4).	1
Many viral <e1>infections</e1> that cause <e2>rash</e2> resolve within several days and require no medication.	0
It is also when a <e1>parent</e1> manipulates a <e2>child</e2>.	18
So with my little <e1>bag</e1> full of <e2>buttons</e2>, I faced the cold, blustery day to carry out some of these lovely ideas.	5
Jordan's recent <e1>works</e1> are concerned with <e2>questions</e2> of truth, beauty and the human condition.	14
This is an absorbing <e1>book</e1>, diminished by the choppy <e2>way</e2> Ackerman balances Antonina's account with the larger story of the Warsaw Holocaust.	18
The <e1>film</e1> details plastic's <e2>path</e2> over the last 100 years and provides a wealth of expert interviews on practical and cutting edge solutions to recycling.	14
At necropsy a heavy <e1>infestation</e1> of Haematopinus <e2>lice</e2> was present, along with a polyserositis affecting the right hock, left elbow and peritoneum.	18
Poor umpiring pushed the <e1>test</e1> into <e2>controversy</e2>.	18
Also, every <e1>employee</e1> who is a participant in the <e2>trust</e2> automatically has a beneficial interest in the ownership of the agency.	18
The <e1>bungalow</e1> has a full <e2>bar</e2> and offers a wide selection of draft and bottled beer and wine.	3
The <e1>concerns</e1> were related to property <e2>taxes</e2>, sewage systems, property values, and control of school districts.	18
The earliest <e1>writing</e1> is from 5000 <e2>years</e2> ago and helps us understand some of the changes.	8
On the courtyard there is a <e1>room</e1> that contains a <e2>billiard table</e2>, a big cinema screen with a Sony DVC/CD Player with over 300 titles and several sofas.	18
The <e1>inmates</e1> successfully scaled the barbed wire fence by using heavy-duty work <e2>gloves</e2>.	11
Sounds like the <e1>rug</e1> got pulled out from the original <e2>plans</e2>.	8
The <e1>owl</e1> held the mouse in its <e2>claw</e2>.	3
This is the <e1>umbrella</e1> that peels the potatoes with a <e2>pencil</e2> and makes a pink ink with the peelings stood up.	11
We teach conflict resolution <e1>skills</e1> to young people through <e2>workshops</e2> in schools and youth centres.	15
Having been won over by the slick downiness of a paddling of ducklings nibbling bread crumbs on the central pond, I was irritated to see their place taken by a <e1>squabble</e1> of <e2>seagulls</e2>.	13
The US <e1>marines</e1> have landed into the <e2>port</e2> this morning.	6
Reporters commented on the <e1>crush</e1> of <e2>candidates</e2> compared to the crowd of supporters.	13
The <e1>wind</e1> pried with its stiff <e2>fingers</e2> at the very foundations.	3
The <e1>changes</e1> now seen in the endometrium are caused by a <e2>hormone</e2> called progesterone.	1
In Japan I was able to bring a <e1>bottle</e1> with <e2>water</e2> in it through security on my way to Singapore.	5
He changed perspective cricketers view, on role of wicket <e1>keeper</e1> in the <e2>team</e2>.	12
The <e1>leukocytes</e1> migrated into the body <e2>tissues</e2> to take up a permanent residence at that location rather than remaining in the blood.	6
After the <e1>swing</e1> went away from the <e2>wicket</e2> he couldn't do anything.	8
I called for Wolf and was answered by a <e1>murder</e1> of idle <e2>crows</e2> that seemed to look down from an old dead oak and scoff at my dilemma.	13
Waves and <e1>coastal</e1> <e2>erosion</e2> is a good general discussion of these subjects.	18
In addition, scientists maye have a number of potentially useful targets to prevent and treat this lethal tumour because of the findings that NOX5 mediated <e1>overproduction</e1> of hydrogen peroxide is responsible for increased <e2>growth</e2> and decreased death of cancer cells.	0
It is a branch of <e1>philosophy</e1> dealing with the <e2>nature</e2> of beauty, art, and taste, and with the creation and appreciation of beauty.	18
The <e1>country</e1> <e2>gentleman</e2>, lodging at the Hotel de Mayence, Rue Saint-Honore, near the Place Vendome, one morning received a visit from a confidential agent of the Ministry, who was an expert in 'winding up' business.	9
The <e1>motor</e1> turns the panel with the help of the mechanical transmission <e2>system</e2>.	11
The <e1>exhibition</e1> explores the <e2>ideas</e2> and beliefs of people in the Middle Ages.	14
The <e1>programme</e1> reported a <e2>sexual relationship</e2> between the two that began in the summer of 2008.	14
The dates for when the coral reefs had been living(125,000, 105,000, and 82,000 years ago) closely matched <e1>dates</e1> from Milankovitch <e2>cycles</e2> for times when the ice sheets should have been melted and the seas at their highest(127,000, 106,000, and 82,000 years ago).	18
The infectious bacterial disease <e1>brucellosis</e1> has been found in a beef <e2>cow</e2> in eastern Idaho.	18
The <e1>teacher</e1> covers the candle with a tall <e2>glass</e2>.	11
It becomes a lunch-time respite from the busy city life as a <e1>diner</e1> relaxes with his buffet <e2>delight</e2> while watching the commuters waiting alongside each other.	11
The <e1>items</e1> are handed over into our <e2>trust</e2>.	6
Early in the <e1>book</e1>, a seashore tide <e2>pool</e2> is used as an exquisite metaphor for discovery.	14
It produces a <e1>wine</e1> descended from a local <e2>vine</e2>, Galbena de Odobesti, a light white wine, little aromatic but appreciated for its freshness and its balance.	17
Toda has established himself as the world's foremost <e1>folder</e1> of paper <e2>planes</e2>.	17
Quo is a monthly <e1>magazine</e1> that informs about <e2>science</e2> through thinking and entertainment.	14
These characteristics are inconsistent with <e1>observations</e1> from <e2>earthquakes</e2> of comparable distance and magnitude to those that dominate the hazard at Yucca Mountain.	18
Ensuring a stable supply of <e1>farm</e1> <e2>produce</e2> is good news to most Chinese people who spend much of their money on food.	17
The <e1>department</e1> achieved the goal with a 75% <e2>reduction</e2> in accidents.	18
At first instance, this <e1>convention</e1> was concerned with <e2>prevention</e2>, reduction and control of pollution.	14
Then I swept up the dust, which looked like sawdust, and put it in a <e1>plastic container</e1>, which was in a <e2>cabinet</e2> under the granite counter top.	4
A <e1>factory</e1> for <e2>cars</e2> and spareparts was built in Russia.	17
The Earth was the center of the universe, and the <e1>sky</e1> was enclosed in a <e2>dome</e2>.	18
As per traditional Indian thinking, seeing a <e1>brood</e1> of <e2>chickens</e2> along with a hen is a bad omen.	13
"In his <e1>poem</e1>, written by the <e2>riverside</e2> near the battle-ground, Mr. Emerson alluded to ""Yon stem headstone""."	18
The <e1>turtle</e1> was slowly pushing the jellyfish in front of his <e2>mouth</e2> (in the manner of a water-polo player controlling a ball), keeping his prey steady with his flippers.	3
The exhibition shows the <e1>hilt</e1> of the 18th century <e2>smallsword</e2> used by Captain John Paul Schott in the American Revolutionary War.	2
We sealed up a <e1>bottle</e1> full of <e2>air</e2> and put it in a freezer for 15 to 30 minutes.	5
The <e1>organization</e1> has also been the subject of much <e2>conspiracy parody</e2>.	15
The <e1>buyer</e1> adjusted the gold dust with a <e2>spoon</e2> until the scale balanced.	11
Symptoms vary according to the degree of <e1>inflammation</e1> caused by the <e2>bacteria</e2>, ranging from slightly loose stools to bloody diarrhea, abdominal pain, and fever.	1
The elderly found it hard to cope with the high heat-humidity, which often causes nausea and <e1>dizziness</e1> from exhaustion and <e2>dehydration</e2>.	1
"Whatever your choice, that horribly dated Chick Corea electric keyboard tone on the first cut sounds like the <e1>player</e1> bought his <e2>equipment</e2> at Toys ""R"" Us."	11
The juice passes through the tiny <e1>holes</e1> in a strainer <e2>basket</e2> and is collected in a container at the bottom.	2
He zeroed in on the metal button in the <e1>fly</e1> of my <e2>jeans</e2> as well as the metal eyelets on my shoes as the only sources of metal that likely triggered the metal detector.	2
The Kerala backwaters are a <e1>chain</e1> of brackish <e2>lagoons</e2> and lakes lying parallel to the Arabian Sea coast of Kerala state in southern India.	13
"Merolchazzar, the high-priest, muttered something about the anger of the Gods at the toleration shown to a <e1>sect</e1> of impious <e2>heretics</e2> who ate pigeons broiled, "" whereas,"" said he, ""our religion commands us to eat them roasted."""	13
Amazon put <e1>ads</e1> into Kindle <e2>books</e2>.	6
A University of Michigan study of 756 recently unemployed job seekers has found that medical and emotional <e1>fallout</e1>, including depression, from <e2>unemployment</e2> continued even after two years, when 71 percent were re-employed.	1
The <e1>species</e1> makes a squelching <e2>noise</e2>.	0
JISC has recently released preliminary <e1>results</e1> of one of the largest <e2>investigations</e2> ever undertaken into the usage of e-books by students.	15
Earlier on our trip, where the seawall between two backyards was missing, Jennifer and I spotted a <e1>plump</e1> of <e2>moorhens</e2> living in the void.	13
Red Line conductor Ivan Hardaway prepares the <e1>train</e1> for departure from the <e2>station</e2>.	8
An American <e1>student</e1> fell drunkenly into the city's Main <e2>river</e2>.	6
On the eve of the Olympics, the Times Online ran a <e1>story</e1> looking at disconcerting <e2>trends</e2> developing in the doping world.	14
A symbol of this mystery is the sail that hangs on the <e1>mast</e1> of the <e2>ship</e2> as though it were Christ raised on the Cross.	2
Little did these naive people realize at the time that they were embracing a foul <e1>brood</e1> of ungrateful <e2>vipers</e2>, which would soon prove to be their undoing.	13
The <e1>items</e1> have been donated to the <e2>museum</e2> of Thracian Art.	6
"Surviving a plane crash over Micronesia as a baby that killed my adoptive parents, I was initially raised by a <e1>whoop</e1> of wild <e2>gorillas</e2>, then later by savage pygmies who idolised me as someone with special powers and christened me ""Mighty White Man"", shortened recently to Dean Wightman."	13
This <e1>rose</e1> <e2>bud</e2> waiting to open up for the world to see, was in the garden at the Swan Inn.	3
The <e1>fish</e1> <e2>gill</e2> is arguably one of the most complex transport epithelia in the biological world.	3
The floating zenith <e1>telescope</e1> has come into formal observatory <e2>routine</e2> since September.	18
Peanut Blossoms are made by putting a chocolate kiss into a peanut butter <e1>cookie</e1> just from the <e2>oven</e2>.	8
A <e1>statement</e1> from the <e2>campaign</e2> claimed that police knew quickly they had killed an innocent man.	16
This rather bizarre picture is of a <e1>whirl</e1> hedge of <e2>herons</e2> - for such is the collective noun for these birds.	13
He made his way inside, where the <e1>jewelry</e1> was locked in a <e2>safe</e2> for the night.	4
Because <e1>sports broadcast</e1> reports <e2>on-going events</e2> within a constrained physical situation, contextualized reference is extremely high in these texts.	14
These children have given up everything - all they own now is a <e1>suitcase</e1> with <e2>clothes</e2> in it.	5
The connector <e1>device</e1> comprises a plurality of host computer system expansion <e2>slots</e2> for coupling to the CPU bus of the host computer system.	3
The animal <e1>plate</e1> of the sea urchin <e2>embryo</e2> becomes the apical organ, a sensory structure of the larva.	2
Two <e1>prices</e1> arrived to the <e2>hotel</e2>.	6
With the recent invention of plastic core roller covers, the <e1>painter</e1> is able to complete an entire job no matter how large, with their original <e2>roller</e2>.	11
"That song immediately segues into the maniacal ""Red & Purple"", a bewilderingly worded love <e1>song</e1> accompanied by a toy <e2>piano</e2> and fuzzy bass."	18
The first mass marketed <e1>toothpaste</e1> was in a <e2>jar</e2> from Colgate with the tubes we know today coming into existence in 1896.	4
Oblique <e1>light</e1> is directed toward the specimen from any <e2>azimuth</e2> to achieve the best desired effect for a given specimen.	8
This is a wholesale <e1>forum</e1> to discuss aspects of business such as <e2>dropshipping</e2>, wholesale buying and selling, reselling, etc.	14
Several <e1>cats</e1> ran into Rob's <e2>garage</e2>.	6
This outlaw has exported <e1>terrorism</e1> to our <e2>society</e2>.	6
They had stumbled upon a <e1>nest</e1> of saltwater <e2>crocodiles</e2> that had made their home deep into the swamp, near the coastline.	13
This <e1>microphone</e1> is made with a medical grade grey silicone <e2>suction cup</e2> that can stay attached to slick smooth surfaces for long periods.	3
The <e1>manufacturer</e1> guarantees the dimension by using the precise grind <e2>process</e2>.	11
The sound <e1>machine</e1> contained 10 <e2>sounds</e2> that his dog loved.	0
A pool with a sand <e1>beach</e1> is located inside the <e2>cave</e2>.	18
This suspicion is further fueled by the arrival of a <e1>piano</e1> for Jane from a mysterious anonymous <e2>benefactor</e2>.	8
The longest <e1>hairs</e1> that make the tip of the <e2>brush</e2> all have the same length and stay evenly together.	2
The <e1>cabin</e1> was moved from its original <e2>site</e2> near Huxley, Iowa, as a project of the Ames Heritage Association.	8
<e1>Spamming</e1> has been the subject of <e2>legislation</e2> in many jurisdictions.	15
He operated the <e1>centrifuge</e1> with <e2>rotors</e2> and buckets which show signs of corrosion or mechanical damage.	3
Sky Cops is a British reality TV <e1>show</e1> revealing the <e2>work</e2> of the air police.	14
The <e1>deficits</e1> caused by the fiscal stimulus <e2>package</e2> end in 2011 and will help to sustain a fragile recovery in 2010, the deficits projected for the longer term are a threat to our economic future.	1
The <e1>players</e1> flew to Lexington on a <e2>plane</e2> separate from the team.	11
They posted a note on the back of the door and the <e1>lid</e1> of the <e2>toilet</e2>.	2
I have inserted <e1>animation</e1> into the <e2>e-post card</e2>.	6
The new <e1>cigarettes</e1> cause headaches and <e2>nausea</e2> and contain dangerous chemicals.	0
The <e1>goods</e1> have been delivered to the <e2>buyer</e2>.	6
<e1>Batteries</e1> stored in <e2>contact</e2> with one another generate heat and hydrogen gas.	18
Canned <e1>peach</e1> <e2>syrup</e2> was cooked for three minutes with a half-glass of raspberry jelly, this for color and to give a peach-melba flavor.	9
<e1>Scientists</e1> have succeeded in creating the first <e2>transistor</e2> made from a single molecule.	17
The <e1>box</e1> contained the jumbled <e2>skeletal remains</e2> of what appeared to be sheep, as well as a variety of other mammals.	5
The <e1>input</e1> <e2>queue</e2> is used for processing events from an MFG/PRO application to a WebSphere-connected application.	18
A <e1>painting</e1> has been shipped to the <e2>museum</e2> by mistake.	6
And a 22-page internal <e1>report</e1> by a computer security <e2>company</e2> named MANDIANT, dated August 18, fleshes out many details of the June-July breaches.	16
We feasted upon a <e1>meal</e1> sumptuously produced by our ever-wondrous <e2>chef</e2> (Issy) and then the games commenced.	16
The <e1>displacement</e1> comes from low <e2>atmospheric pressure</e2> within the centre of the depression.	1
When leaving on the walk, our guide gave one of our group a <e1>bottle</e1> with twenty <e2>re-hydration tablets</e2> in it.	5
The magnetic <e1>island</e1> grows from the resonant <e2>radius</e2> until the so-called mixing radius rmix and full reconnection are reached.	18
The <e1>surgeon</e1> repairs the cartilage with a <e2>suture</e2>.	11
<e1>Interpolation</e1> of the missing samples repairs the waveform with a minimum of <e2>distortion</e2>.	0
The candle <e1>wax</e1> is the main ingredient needed for making <e2>candles</e2> of all types.	9
The liftable <e1>scaffold</e1> 10 has a <e2>platform</e2> 12 including a frame 14.	3
She opened a fridge in the side of the door and got out a <e1>blueberry</e1> <e2>vodka</e2>.	18
Highly durable, the <e1>umbrella</e1> <e2>frame</e2> and thatch tiles have been designed to withstand harsh conditions including: strong winds, driving rain and snow.	3
Knee <e1>injuries</e1> from <e2>running</e2> are treated and prevented by following tips and performing stretches from Runner's World.com.	1
It is a fairy <e1>story</e1> depicting the incredible <e2>ugliness</e2> of human sin, misery, and futility, yet also the incredible and beautiful power of love.	14
Another mathematical system <e1>description</e1> is presented in the next <e2>section</e2>.	15
The <e1>speech</e1> was delivered from the <e2>steps</e2> of Lincoln Memorial on August 28, 1963 as part of his famous March on Washington.	18
They presented very extensive and detailed report on greenhouse <e1>heating</e1> with <e2>compost</e2>.	18
For example, a television <e1>anchor</e1> uses a <e2>microphone</e2> on their lapel.	11
