sentence	relation
Our ancestors have added high <e1>protein</e1> into their <e2>diet</e2>.	6
These <e1>photographs</e1> show the <e2>survivors</e2> of a time that the truly nostalgic fondly remember and the rest of us can't believe existed at all.	14
The distance between a <e1>blog</e1> <e2>writer</e2> and an audience happens only if the audience never shows up.	16
A microbrewery, or craft brewery, is a modern <e1>brewery</e1> which produces a limited amount of <e2>beer</e2>.	17
The <e1>disease</e1> was transmitted on to another <e2>patient</e2> by skin.	6
The <e1>program</e1> assists separating <e2>families</e2> in high conflict over parenting arrangements.	10
Hunt clubs often maintain a <e1>cry</e1> of <e2>hounds</e2>, trained to hunt foxes.	13
Film Exhibition in North America, wrapped this past weekend, and Paste was there to sample the latest <e1>wares</e1> from the world's <e2>filmmakers</e2>.	16
Approximately $2 <e1>trillions</e1> are invested into SRI Socially responsible investing <e2>ventures</e2> in the present day.	6
We put frozen <e1>prawns</e1> in the <e2>popcorn maker</e2>, and we obtained prawn crackers.	6
It's hell in the hospitals where the amputees's <e1>screaming</e1> after the <e2>lapse</e2> of morphine is heard all the time.	1
The Civil Rights Hero <e1>award</e1> was bestowed to a disability rights <e2>activist</e2>.	6
The aim of this <e1>paper</e1> is to present a <e2>model</e2> for the determination of the monetary values.	14
A <e1>food</e1> and beverage <e2>manufacturer</e2> found that lack of partnered planning with their service provider counterparts deeply divided the two sides.	16
The <e1>increase</e1> in customers, though, caused a <e2>strain</e2> on the company servers.	0
The tongue has taste buds, but a cat's <e1>appetite</e1> comes from the <e2>smell</e2> of the food and doesn't come from the taste of it.	1
The <e1>pseudolesion</e1> was caused by <e2>drainage</e2> of the paraumbilical vein.	1
The government has poured <e1>billions</e1> into education <e2>reforms</e2>.	6
The check given by Charles V to the advance of the Ottoman power along the African coast made him appear to the world as the liberator of the Christians and the <e1>terror</e1> of the <e2>infidels</e2>, and gave him such prestige that Francis felt obliged to get all the advantage possible out of his alliance.	18
This article discusses the ethics of the Soldier of Fortune's guns-for-hire <e1>advertisements</e1> that resulted in several <e2>murders</e2> across the United States.	0
Picture books invite students to engage in critical <e1>discussion</e1> of complex <e2>issues</e2> of race, class, and gender.	14
This company has put the <e1>insulation</e1> into the <e2>walls</e2>.	6
The <e1>lawsuit</e1> alleged the release of the records was a <e2>violation</e2> of the Video Privacy Protection Act.	14
Alfred Nobel created his <e1>fortune</e1> from the <e2>selling</e2> of explosives that utilized nitroglycerin.	1
The <e1>adjective</e1> Capitolinus was of course derived from the <e2>noun</e2>.	8
Manufacturers passed on the <e1>costs</e1> to the <e2>consumers</e2>.	6
The <e1>system</e1> works using a spring loaded Trem <e2>arm</e2> which when turned raises or lowers itself from a nut in the steel backplate.	3
Each <e1>organization</e1> that is a member of the <e2>corporation</e2> as provided in the constitution of the corporation is entitled to all the benefits of incorporation under this chapter.	12
<e1>Sodium</e1> causes fluid <e2>retention</e2>, which can lead to edema (swelling), increased blood pressure, and in those susceptible patients, congestive heart failure.	0
Unfortunately, they just had brief mentions and more <e1>pages</e1> were spent describing the clubs <e2>scene</e2>.	14
This classic Huffman photograph pictures the cow hands on their way to set up camp with their <e1>remuda</e1> of <e2>geldings</e2> trailing behind.	13
Uncooked steak is placed on the top <e1>shelf</e1> of the <e2>refrigerator</e2> and uncovered roast chicken on the bottom shelf.	2
